# Wave_zero_point coeff_1 coeff_2 coeff_3 coeff_4 t_fft t_no_fft t_total nfreq nthreads version checksum
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.503000000000000003e-01 4.413999999999999702e+00 4.764999999999999680e+00 2.621440000000000000e+05 1.000000000000000000e+00 1.000000000000000000e+00 2.329127588847219954e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 6.933000000000000274e-01 4.443999999999999950e+00 5.136999999999999567e+00 5.242880000000000000e+05 2.000000000000000000e+00 3.000000000000000000e+00 2.329127588859919840e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.194999999999999840e+00 5.336999999999999744e+00 8.531000000000000583e+00 2.097152000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127599838290053e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 4.057999999999999940e-01 4.413999999999999702e+00 4.820000000000000284e+00 2.621440000000000000e+05 1.000000000000000000e+00 3.000000000000000000e+00 2.329127588847219954e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 2.677999999999999936e+00 5.528999999999999915e+00 8.207000000000000739e+00 2.097152000000000000e+06 8.000000000000000000e+00 3.000000000000000000e+00 2.329127599838290053e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.701999999999999957e+00 5.322000000000000064e+00 7.025000000000000355e+00 2.097152000000000000e+06 8.000000000000000000e+00 2.000000000000000000e+00 2.329127599838290053e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.322999999999999954e-01 4.467999999999999972e+00 5.001000000000000334e+00 5.242880000000000000e+05 2.000000000000000000e+00 2.000000000000000000e+00 2.329127588859919840e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 2.645000000000000018e+00 5.533999999999999808e+00 8.179000000000000270e+00 2.097152000000000000e+06 8.000000000000000000e+00 3.000000000000000000e+00 2.329127599838290053e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.348000000000000531e-01 4.464000000000000412e+00 4.998999999999999666e+00 5.242880000000000000e+05 2.000000000000000000e+00 2.000000000000000000e+00 2.329127588859919840e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.329000000000000403e-01 4.466000000000000192e+00 4.998999999999999666e+00 5.242880000000000000e+05 2.000000000000000000e+00 2.000000000000000000e+00 2.329127588859919840e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.372000000000000108e-01 4.466999999999999638e+00 5.003999999999999559e+00 5.242880000000000000e+05 2.000000000000000000e+00 2.000000000000000000e+00 2.329127588859919840e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.185000000000000053e+00 5.509999999999999787e+00 8.695000000000000284e+00 2.097152000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127599838290053e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.179000000000000159e-01 1.379000000000000004e+00 1.697000000000000064e+00 2.621440000000000000e+05 4.000000000000000000e+00 3.000000000000000000e+00 2.329127588847219954e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 2.693999999999999950e+00 5.519000000000000128e+00 8.212999999999999190e+00 2.097152000000000000e+06 8.000000000000000000e+00 3.000000000000000000e+00 2.329127599838290053e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.513000000000000012e-01 1.368000000000000105e+00 1.719999999999999973e+00 2.621440000000000000e+05 4.000000000000000000e+00 1.000000000000000000e+00 2.329127588847219954e+01
-2.997399999999999906e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 6.628999999999999559e+00 5.570000000000000284e+00 1.219999999999999929e+01 4.194304000000000000e+06 1.600000000000000000e+01 1.000000000000000000e+00 2.329127601666269953e+01
-2.997399999999999906e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 6.607999999999999652e+00 5.549000000000000377e+00 1.216000000000000014e+01 4.194304000000000000e+06 1.600000000000000000e+01 1.000000000000000000e+00 2.329127601666269953e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 4.055000000000000271e-01 4.413000000000000256e+00 4.818999999999999950e+00 2.621440000000000000e+05 1.000000000000000000e+00 3.000000000000000000e+00 2.329127588847219954e+01
-2.997399999999999906e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 6.628000000000000114e+00 5.562999999999999723e+00 1.218999999999999950e+01 4.194304000000000000e+06 1.600000000000000000e+01 1.000000000000000000e+00 2.329127601666269953e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 4.042999999999999927e-01 4.413000000000000256e+00 4.817000000000000171e+00 2.621440000000000000e+05 1.000000000000000000e+00 3.000000000000000000e+00 2.329127588847219954e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 4.083999999999999853e-01 4.413000000000000256e+00 4.820999999999999730e+00 2.621440000000000000e+05 1.000000000000000000e+00 3.000000000000000000e+00 2.329127588847219954e+01
-2.997399999999999906e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 6.615999999999999659e+00 5.573999999999999844e+00 1.218999999999999950e+01 4.194304000000000000e+06 1.600000000000000000e+01 1.000000000000000000e+00 2.329127601666269953e+01
-2.997399999999999906e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 6.621000000000000441e+00 5.551999999999999602e+00 1.216999999999999993e+01 4.194304000000000000e+06 1.600000000000000000e+01 1.000000000000000000e+00 2.329127601666269953e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.338000000000000522e-01 4.464999999999999858e+00 4.998999999999999666e+00 5.242880000000000000e+05 2.000000000000000000e+00 2.000000000000000000e+00 2.329127588859919840e+01
-2.997399999999999906e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.439999999999999947e+00 5.482000000000000206e+00 8.922000000000000597e+00 4.194304000000000000e+06 1.600000000000000000e+01 2.000000000000000000e+00 2.329127601666269953e+01
