Version Checksum Elapsed_time grid_size N_gangs vec_length
 2 807079 41.2621 7168 98 128
 3 807079 44.7438 7168 98 128
 1 926493 45.7783 7680 112 128
 2 926493 41.2831 7680 112 128
 3 926493 43.6531 7680 112 128
 1 926493 48.2051 7680 112 128
 2 926493 42.6661 7680 112 128
 3 926493 42.2525 7680 112 128
 1 926493 48.1118 7680 112 128
 2 926493 42.9724 7680 112 128
 3 926493 43.4405 7680 112 128
 1 926493 46.6391 7680 112 128
 2 926493 43.3629 7680 112 128
 3 926493 43.4284 7680 112 128
 1 926493 48.6896 7680 112 128
 2 926493 44.2516 7680 112 128
 3 926493 44.5973 7680 112 128
 1 926493 47.496 7680 112 128
 2 926493 44.0312 7680 112 128
 3 926493 44.1765 7680 112 128
 1 926493 48.7259 7680 112 128
 2 926493 46.2386 7680 112 128
 3 926493 44.0809 7680 112 128
 1 926493 48.693 7680 112 128
 2 926493 31.5791 7680 112 128
 3 926493 18.2493 7680 112 128
 1 926493 18.2445 7680 112 128
 2 926493 18.1777 7680 112 128
 3 926493 18.318 7680 112 128
