Version Checksum Elapsed_time grid_size N_gangs vec_length
 1 263536 5.44996 4096 86 128
 2 263536 5.40121 4096 86 128
 3 263536 5.46182 4096 86 128
 1 263536 5.44324 4096 86 128
 2 263536 5.42574 4096 86 128
 3 263536 5.4819 4096 86 128
 1 263536 5.37929 4096 91 128
 2 263536 5.33993 4096 91 128
 3 263536 5.41647 4096 91 128
 1 263536 5.48234 4096 91 128
 2 263536 5.29982 4096 91 128
 3 263536 5.39464 4096 91 128
 1 263536 5.4014 4096 91 128
 2 263536 5.44251 4096 91 128
 3 263536 5.35015 4096 91 128
 1 263536 5.43173 4096 91 128
 2 263536 5.3241 4096 91 128
 3 263536 5.3271 4096 91 128
 1 263536 5.35876 4096 91 128
 2 263536 5.32069 4096 91 128
 3 263536 5.34153 4096 91 128
 1 263536 5.34022 4096 91 128
 2 263536 5.53814 4096 91 128
 3 263536 5.32963 4096 91 128
 1 263536 5.23192 4096 96 128
 2 263536 5.18762 4096 96 128
 3 263536 5.27926 4096 96 128
 1 263536 5.2162 4096 96 128
 2 263536 5.25221 4096 96 128
 3 263536 5.1889 4096 96 128
 1 263536 5.21904 4096 96 128
 2 263536 5.18125 4096 96 128
 3 263536 5.18234 4096 96 128
 1 263536 5.23871 4096 96 128
 2 263536 5.18588 4096 96 128
 3 263536 5.42301 4096 96 128
 1 263536 5.21573 4096 96 128
 2 263536 5.20232 4096 96 128
 3 263536 5.18051 4096 96 128
 1 263536 5.32549 4096 96 128
 2 263536 5.4439 4096 96 128
 3 263536 5.22873 4096 96 128
 1 263536 5.23151 4096 101 128
 2 263536 5.19094 4096 101 128
 3 263536 5.28573 4096 101 128
 1 263536 5.22404 4096 101 128
 2 263536 5.22825 4096 101 128
 3 263536 5.2541 4096 101 128
 1 263536 5.21367 4096 101 128
 2 263536 5.51963 4096 101 128
 3 263536 5.56605 4096 101 128
 1 263536 5.22323 4096 101 128
 2 263536 5.288 4096 101 128
 3 263536 5.37346 4096 101 128
 1 263536 5.24487 4096 101 128
 2 263536 5.20078 4096 101 128
 3 263536 5.24003 4096 101 128
 1 263536 5.26708 4096 101 128
 2 263536 6.01777 4096 101 128
 3 263536 5.19836 4096 101 128
 1 263536 5.27614 4096 106 128
 2 263536 5.15091 4096 106 128
 3 263536 5.15947 4096 106 128
 1 263536 5.14721 4096 106 128
 2 263536 5.3276 4096 106 128
 3 263536 5.34428 4096 106 128
 1 263536 5.14701 4096 106 128
 2 263536 5.1248 4096 106 128
 3 263536 5.23459 4096 106 128
 1 263536 5.17478 4096 106 128
 2 263536 5.10603 4096 106 128
 3 263536 5.1455 4096 106 128
 1 263536 5.35343 4096 106 128
 2 263536 5.12085 4096 106 128
 3 263536 5.11477 4096 106 128
 1 263536 5.14353 4096 106 128
 2 263536 5.24114 4096 106 128
 3 263536 5.11287 4096 106 128
 1 263536 5.10025 4096 111 128
 2 263536 5.04048 4096 111 128
 3 263536 5.08892 4096 111 128
 1 263536 5.21164 4096 111 128
 2 263536 5.07952 4096 111 128
 3 263536 5.04629 4096 111 128
 1 263536 5.12 4096 111 128
 2 263536 5.17904 4096 111 128
 3 263536 5.08266 4096 111 128
 1 263536 5.07924 4096 111 128
 2 263536 5.97095 4096 111 128
 3 263536 5.20391 4096 111 128
 1 263536 5.13045 4096 111 128
 2 263536 5.07909 4096 111 128
 3 263536 5.07408 4096 111 128
 1 263536 5.2121 4096 111 128
 2 263536 5.04123 4096 111 128
 3 263536 5.08407 4096 111 128
 1 263536 5.06443 4096 116 128
 2 263536 5.00352 4096 116 128
 3 263536 5.04134 4096 116 128
 1 263536 5.0394 4096 116 128
 2 263536 5.035 4096 116 128
 3 263536 6.42721 4096 116 128
 1 263536 5.06131 4096 116 128
 2 263536 5.01948 4096 116 128
 3 263536 5.01635 4096 116 128
 1 263536 5.04644 4096 116 128
 2 263536 5.00454 4096 116 128
 3 263536 5.0375 4096 116 128
 1 263536 5.03733 4096 116 128
 2 263536 5.01971 4096 116 128
 3 263536 5.00847 4096 116 128
 1 263536 5.14163 4096 116 128
 2 263536 5.00716 4096 116 128
 3 263536 5.01655 4096 116 128
 1 263536 5.01608 4096 121 128
 2 263536 4.9678 4096 121 128
 3 263536 4.97608 4096 121 128
 1 263536 5.02274 4096 121 128
 2 263536 4.95469 4096 121 128
 3 263536 4.96493 4096 121 128
 1 263536 5.03337 4096 121 128
 2 263536 4.96456 4096 121 128
 3 263536 4.98109 4096 121 128
 1 263536 5.02046 4096 121 128
 2 263536 4.9643 4096 121 128
 3 263536 4.96265 4096 121 128
 1 263536 4.99583 4096 121 128
 2 263536 4.95502 4096 121 128
 3 263536 4.98831 4096 121 128
 1 263536 5.02425 4096 121 128
 2 263536 4.97466 4096 121 128
 3 263536 4.99462 4096 121 128
 1 263536 18.6793 4096 126 128
 2 263536 15.121 4096 126 128
 3 263536 15.0876 4096 126 128
 1 263536 18.6764 4096 126 128
 2 263536 15.12 4096 126 128
 3 263536 15.3464 4096 126 128
 1 263536 18.7277 4096 126 128
 2 263536 15.0716 4096 126 128
 3 263536 15.0341 4096 126 128
 1 263536 4.94168 4096 126 128
 2 263536 15.1937 4096 126 128
 3 263536 15.0834 4096 126 128
 1 263536 18.686 4096 126 128
 2 263536 15.1301 4096 126 128
 3 263536 15.4031 4096 126 128
 1 263536 18.6865 4096 126 128
 2 263536 15.1305 4096 126 128
 3 263536 15.078 4096 126 128
 1 263536 5.10567 4096 131 128
 2 263536 14.2371 4096 131 128
 3 263536 15.0838 4096 131 128
 1 263536 18.6384 4096 131 128
 2 263536 15.2647 4096 131 128
 3 263536 15.0802 4096 131 128
 1 263536 18.7156 4096 131 128
 2 263536 15.1465 4096 131 128
